公司名称,公司地址,薪资水平,职位信息
北京东方国信科技股份有限公司 ,北京,15000-28000元/月,算法工程师
杭州晟视科技有限公司 ,杭州,8001-10000元/月,高级软件工程师
深圳市迈步机器人科技有限公司 ,深圳,20000-35000元/月,算法工程师
意礴科技(深圳)有限公司,深圳,10000-20000元/月,算法工程师
杭州新剑机器人技术股份有限公司,上海,10001-15000元/月,其他
长沙细觉网络科技有限公司 ,昆明,4001-6000元/月,互联网软件工程师
山东博昂信息科技有限公司 ,济南,6000-8000元/月,软件工程师
北京复华卓越商业管理有限公司 ,北京,20000-40000元/月,算法工程师
哈尔滨福特威尔科技有限公司 ,哈尔滨,4000-8000元/月,算法工程师
美团点评,上海,面议,算法工程师
上海美沃精密仪器股份有限公司 ,上海,10000-20000元/月,算法工程师
美团点评,北京,面议,算法工程师
浙江远传信息技术股份有限公司 ,上海,10001-15000元/月,算法工程师
上海熙菱信息技术有限公司 ,西安,8001-10000元/月,算法工程师
江苏润和软件股份有限公司 ,南京,30000-40000元/月,算法工程师
径卫视觉科技(上海)有限公司 ,上海,15000-30000元/月,算法工程师
普联技术有限公司 ,杭州,12000-24000元/月,算法工程师
北京真格天成投资管理有限公司 ,北京,30001-50000元/月,算法工程师
慧影医疗科技(北京)有限公司 ,北京,20000-40000元/月,算法工程师
安徽瑞信软件有限公司合肥分公司 ,芜湖,10000-20000元/月,算法工程师
芋头科技(杭州)有限公司 ,北京,25000-50000元/月,算法工程师
上海碧东电子科技有限公司 ,南京,10001-15000元/月,算法工程师
深圳卓维信息技术有限公司西安分公司,西安,4500-6000元/月,算法工程师
京东商城总部技术 ,北京,面议,算法工程师
成都未至科技有限公司 ,成都,10001-15000元/月,算法工程师
上海瀛研商务咨询有限公司 ,上海,20000-30000元/月,算法工程师
京东金融 ,北京,面议,算法工程师
杭州逐影科技有限公司 ,杭州,30000-60000元/月,高级软件工程师
北京捷通华声科技股份有限公司,北京,20000-40000元/月,算法工程师
北京经纬恒润科技有限公司海淀分公司 ,北京,10000-20000元/月,算法工程师
游瑞世纪(北京)管理咨询有限公司 ,北京,30001-50000元/月,算法工程师
深圳市大疆创新科技有限公司 ,西安,15000-25000元/月,嵌入式软件开发
安凯(广州)微电子技术有限公司 ,广州,15001-20000元/月,算法工程师
京东金融 ,北京,面议,互联网软件工程师
济南中维世纪科技有限公司,济南,10001-15000元/月,算法工程师
深圳市锐明技术股份有限公司,深圳,20001-30000元/月,算法工程师
广州市昊志机电股份有限公司 ,广州,15000-30000元/月,高级软件工程师
上海直真君智科技有限公司 ,成都,13000-25000元/月,算法工程师
深圳市聚视光电科技有限公司,深圳,8001-10000元/月,算法工程师
广州市华科尔科技股份有限公司 ,广州,10001-15000元/月,电子技术研发工程师
